config_name,steps,frequency,execution_time,steps_per_second,energy_conservation,frequency_stability,glr_corrections,nrci_score
Standard_50,50,3.14159,0.006110191345214844,18354.209697181865,True,True,9,0.9999766001177627
Standard_100,100,3.14159,0.0066678524017333984,16501.963252940946,True,True,9,0.9999798001152025
Standard_200,200,3.14159,0.005785226821899414,19140.710993474193,True,True,9,0.9999742000902423
Freq_Variant_1,100,3.1416,0.006665706634521484,17462.442233232025,True,True,9,0.9999806000569611
Freq_Variant_2,100,3.14158,0.005883693695068359,18943.606883157943,True,True,9,0.9999766000921623
Coherence_Test,100,3.14159,0.006026744842529297,18475.48233635803,True,True,9,0.9999838000288004
